iter	Passed	Remaining
215	297	1078
216	297	1073
217	298	1069
218	298	1064
219	299	1060
220	299	1056
221	300	1051
222	300	1047
223	301	1043
224	301	1039
225	302	1035
226	303	1032
227	303	1027
228	304	1023
229	304	1019
230	305	1015
231	305	1012
232	306	1008
233	306	1004
234	307	1000
235	307	996
236	308	993
237	309	990
238	309	986
239	310	982
240	310	979
241	311	975
242	312	972
243	312	968
244	313	965
245	313	961
246	314	957
247	314	954
248	315	951
249	316	948
250	316	944
251	317	941
252	317	937
253	318	934
254	318	930
255	319	927
256	319	924
257	320	920
258	320	917
259	321	914
260	322	911
261	322	908
262	323	905
263	323	902
264	324	898
265	324	895
266	325	892
267	325	889
268	326	886
269	326	883
270	327	880
271	328	878
272	328	875
273	329	872
274	329	869
275	330	866
276	330	863
277	331	860
278	331	857
279	332	854
280	333	852
281	333	849
282	334	847
283	334	844
284	335	841
285	336	838
286	336	836
287	337	834
288	337	831
289	338	828
290	339	826
291	339	823
292	340	821
293	340	818
294	341	816
295	342	813
296	342	810
297	343	808
298	343	805
299	344	803
300	344	800
301	345	797
302	345	795
303	346	793
304	347	790
305	347	788
306	348	785
307	348	783
308	349	780
309	349	778
310	350	775
311	350	772
312	351	770
313	351	768
314	352	765
315	352	763
316	353	761
317	353	759
318	354	756
319	354	754
320	355	751
321	355	749
322	356	746
323	356	744
324	357	742
325	357	740
326	358	737
327	359	735
328	359	733
329	360	731
330	360	729
331	361	727
332	362	725
333	362	722
334	363	720
335	363	718
336	363	716
337	364	713
338	365	712
339	366	710
340	366	708
341	367	706
342	367	704
343	368	702
344	368	700
345	369	698
346	369	696
347	370	693
348	370	691
349	371	690
350	372	688
351	372	686
352	373	684
353	373	682
354	374	680
355	374	678
356	375	676
357	375	674
358	376	672
359	376	669
360	377	668
361	378	666
362	379	665
363	379	663
364	380	661
365	380	659
366	381	658
367	382	656
368	382	654
369	383	652
370	384	651
371	384	649
372	385	648
373	386	646
374	386	644
375	387	642
376	387	640
377	388	639
378	388	637
379	389	635
380	389	633
381	390	631
382	391	630
383	391	628
384	392	626
385	392	624
386	393	622
387	393	621
388	394	619
389	394	617
390	395	615
391	395	614
392	396	612
393	397	611
394	397	609
395	398	607
396	399	606
397	399	604
398	400	602
399	400	600
400	401	599
401	401	597
402	402	596
403	403	594
404	403	593
405	404	591
406	404	589
407	405	587
408	405	586
409	406	584
410	406	583
411	407	581
412	408	579
413	408	578
414	409	576
415	409	575
416	410	573
417	410	572
418	411	570
419	411	568
420	412	567
421	412	565
422	413	564
423	413	562
424	414	560
425	414	559
426	415	557
427	416	556
428	416	555
429	417	553
430	418	551
431	418	550
432	419	548
433	419	547
434	420	545
435	420	544
436	421	542
437	421	541
438	422	539
439	422	538
440	423	536
441	424	535
442	424	534
443	425	532
444	425	531
445	426	529
446	427	528
447	427	526
448	428	525
449	429	524
450	429	523
451	430	522
452	431	520
453	431	519
454	432	517
455	432	516
456	433	515
457	434	513
458	434	512
459	435	511
460	436	509
461	436	508
462	437	507
463	437	505
464	438	504
465	439	503
466	439	501
467	440	500
468	440	499
469	441	497
470	442	496
471	442	495
472	443	493
473	443	492
474	444	490
475	444	489
476	445	488
477	445	486
478	446	485
479	446	484
480	447	482
481	448	481
482	448	480
483	449	478
484	449	477
485	450	476
486	450	474
487	451	473
488	452	472
489	452	471
490	453	469
491	453	468
492	454	467
493	455	466
494	455	464
495	456	463
496	456	462
497	457	460
498	457	459
499	458	458
500	458	456
501	459	455
502	459	454
503	460	453
504	461	451
505	461	450
506	462	449
507	462	448
508	463	446
509	463	445
510	464	444
511	464	443
512	465	442
513	466	440
514	466	439
515	467	438
516	468	437
517	468	436
518	469	434
519	469	433
520	470	432
521	470	431
522	471	429
523	471	428
524	472	427
525	473	426
526	473	425
527	474	423
528	474	422
529	475	421
530	475	420
531	476	418
532	476	417
533	477	416
534	477	415
535	478	414
536	479	413
537	479	412
538	480	410
539	480	409
540	481	408
541	481	407
542	482	405
543	482	404
544	483	403
545	483	402
546	484	401
547	485	400
548	485	399
549	486	397
550	486	396
551	487	395
552	488	394
553	488	393
554	489	392
555	489	391
556	490	389
557	490	388
558	491	387
559	492	386
560	492	385
561	493	384
562	493	383
563	494	382
564	495	381
565	495	380
566	496	378
567	496	377
568	497	376
569	498	375
570	498	374
571	499	373
572	499	372
573	500	371
574	500	370
575	501	369
576	501	367
577	502	366
578	502	365
579	503	364
580	504	363
581	504	362
582	505	361
583	505	360
584	506	359
585	506	358
586	507	356
587	507	355
588	508	354
589	508	353
590	509	352
591	510	351
592	510	350
593	511	349
594	511	348
595	512	347
596	512	346
597	513	345
598	513	344
599	514	342
600	514	341
601	515	340
602	516	339
603	516	338
604	517	337
605	518	336
606	518	335
607	519	334
608	519	333
609	520	332
610	520	331
611	521	330
612	521	329
613	522	328
614	523	327
615	523	326
616	524	325
617	525	324
618	525	323
619	526	322
620	526	321
621	527	320
622	527	319
623	528	318
624	528	317
625	529	316
626	530	315
627	530	314
628	531	313
629	531	312
630	532	311
631	532	310
632	533	309
633	533	308
634	534	307
635	535	306
636	535	305
637	536	304
638	536	303
639	537	302
640	538	301
641	538	300
642	539	299
643	539	298
644	539	297
645	540	296
646	540	295
647	541	294
648	542	293
649	542	292
650	543	291
651	543	290
652	544	289
653	544	288
654	545	287
655	545	286
656	546	285
657	546	284
658	547	283
659	547	282
660	548	281
661	549	280
662	549	279
663	550	278
664	551	277
665	551	276
666	552	275
667	552	274
668	553	273
669	553	272
670	554	271
671	554	270
672	555	269
673	556	268
674	556	267
675	557	266
676	557	265
677	558	265
678	558	264
679	558	263
680	559	262
681	560	261
682	560	260
683	561	259
684	561	258
685	562	257
686	562	256
687	563	255
688	564	254
689	565	253
690	565	252
691	566	252
692	567	251
693	567	250
694	568	249
695	569	248
696	569	247
697	570	246
698	570	245
699	571	244
700	571	243
701	572	242
702	572	241
703	573	241
704	574	240
705	574	239
706	575	238
707	575	237
708	576	236
709	576	235
710	577	234
711	577	233
712	578	232
713	578	231
714	579	230
715	579	230
716	580	229
717	581	228
718	581	227
719	582	226
720	582	225
721	583	224
722	583	223
723	584	222
724	584	221
725	585	220
726	586	220
727	586	219
728	587	218
729	587	217
730	588	216
731	589	215
732	589	214
733	590	213
734	590	212
735	591	212
736	591	211
737	592	210
738	593	209
739	593	208
740	594	207
741	594	206
742	595	205
743	596	205
744	596	204
745	597	203
746	597	202
747	598	201
748	599	200
749	599	199
750	600	199
751	600	198
752	601	197
753	602	196
754	602	195
755	603	194
756	603	193
757	604	192
758	604	191
759	605	191
760	606	190
761	606	189
762	607	188
763	607	187
764	608	186
765	609	186
766	609	185
767	610	184
768	610	183
769	611	182
770	611	181
771	612	180
772	613	180
773	613	179
774	614	178
775	614	177
776	615	176
777	615	175
778	616	174
779	616	174
780	617	173
781	618	172
782	618	171
783	619	170
784	620	169
785	620	168
786	621	168
787	621	167
788	622	166
789	622	165
790	623	164
791	623	163
792	624	163
793	625	162
794	625	161
795	626	160
796	626	159
797	627	158
798	627	157
799	628	157
800	628	156
801	629	155
802	629	154
803	630	153
804	630	152
805	631	151
806	631	151
807	632	150
808	632	149
809	633	148
810	634	147
811	634	146
812	635	146
813	635	145
814	636	144
815	637	143
816	637	142
817	638	141
818	638	141
819	639	140
820	639	139
821	640	138
822	640	137
823	641	136
824	641	136
825	642	135
826	642	134
827	643	133
828	644	132
829	644	132
830	645	131
831	645	130
832	646	129
833	646	128
834	647	127
835	648	127
836	648	126
837	649	125
838	650	124
839	650	123
840	651	123
841	651	122
842	652	121
843	652	120
844	653	119
845	653	119
846	654	118
847	654	117
848	655	116
849	656	115
850	656	114
851	657	114
852	657	113
853	658	112
854	658	111
855	659	110
856	659	110
857	660	109
858	660	108
859	661	107
860	662	106
861	662	106
862	663	105
863	663	104
864	664	103
865	664	102
866	665	102
867	665	101
868	666	100
869	666	99
870	667	98
871	668	98
872	668	97
873	669	96
874	670	95
875	670	94
876	671	94
877	671	93
878	672	92
879	672	91
880	673	90
881	673	90
882	674	89
883	675	88
884	675	87
885	676	87
886	676	86
887	677	85
888	677	84
889	678	83
890	679	83
891	679	82
892	680	81
893	680	80
894	681	79
895	682	79
896	682	78
897	683	77
898	683	76
899	684	76
900	684	75
901	685	74
902	685	73
903	686	72
904	686	72
905	687	71
906	688	70
907	688	69
908	689	69
909	689	68
910	690	67
911	691	66
912	691	65
913	692	65
914	692	64
915	693	63
916	694	62
917	695	62
918	695	61
919	696	60
920	697	59
921	697	59
922	698	58
923	698	57
924	699	56
925	700	55
926	700	55
927	701	54
928	702	53
929	702	52
930	703	52
931	703	51
932	704	50
933	704	49
934	705	49
935	705	48
936	706	47
937	707	46
938	707	45
939	708	45
940	708	44
941	709	43
942	709	42
943	710	42
944	710	41
945	711	40
946	712	39
947	712	39
948	713	38
949	713	37
950	714	36
951	714	36
952	715	35
953	716	34
954	716	33
955	717	33
956	717	32
957	718	31
958	718	30
959	719	29
960	720	29
961	720	28
962	721	27
963	721	26
964	722	26
965	722	25
966	723	24
967	723	23
968	724	23
969	725	22
970	725	21
971	726	20
972	726	20
973	727	19
974	727	18
975	728	17
976	728	17
977	729	16
978	730	15
979	730	14
980	731	14
981	731	13
982	732	12
983	733	11
984	733	11
985	734	10
986	735	9
987	735	8
988	736	8
989	736	7
990	737	6
991	737	5
992	738	5
993	739	4
994	739	3
995	740	2
996	740	2
997	741	1
998	741	0
999	742	0
